2003 CR1 , R ,  5623 ,   326 , 14 28 37.78 -38 42 41.87 , 0 0 0.05   0 0 0.73 , 22.844
2003 CR1 , R ,  6544 ,   387 , 15 6 32.93 -36 31 15.35 , 0 0 0.05   0 0 0.79 , 22.972
2016 QJ44 , R ,  6212 ,   526 , 19 36 56.81 -22 33 59.18 , 0 0 25.54   0 6 23.09 , 22.473
2013 QK48 , R ,  7034 ,   533 , 22 13 31.87 -24 24 20.3 , 0 0 0.05   0 0 0.74 , 22.299
2008 UZ94 , R ,  5611 ,   327 , 14 33 13.04 -38 29 52.66 , 0 0 0.04   0 0 0.54 , 22.756
2008 UZ94 , R ,  5623 ,   326 , 14 24 26.39 -38 0 30.74 , 0 0 0.04   0 0 0.56 , 22.635
2008 UZ94 , R ,  5663 ,   384 , 13 57 9.37 -35 7 15.2 , 0 0 0.04   0 0 0.59 , 22.428
2008 UZ94 , R ,  6085 ,   590 , 18 3 29.46 -19 18 45.83 , 0 0 0.04   0 0 0.6 , 22.584
2008 UZ94 , R ,  6867 ,   381 , 12 56 55.38 -37 21 30.96 , 0 0 0.04   0 0 0.6 , 22.227
2004 TP1 , R ,  8128 ,   399 , 20 9 16.68 -37 7 58.87 , 0 0 0.16   0 0 2.43 , 21.998
2002 QQ40 , R ,  6921 ,   594 , 19 38 6.07 -21 12 40.46 , 0 0 0.85   0 0 12.79 , 23.525
2015 FQ117 , R ,  5628 ,   277 , 16 47 51.3 -44 34 48.9 , 0 0 0.6   0 0 8.97 , 19.669
2013 GY7 , R ,  7722 ,   245 , 1 52 11.42 -47 11 28.03 , 0 0 0.07   0 0 1.01 , 21.676
2017 UY5 , R ,  6590 ,   536 , 23 38 2.2 -25 51 26.82 , 0 0 0.08   0 0 1.19 , 22.425
2001 XU10 , R ,  5599 ,   496 , 8 50 42.36 -26 50 11.51 , 0 0 0.02   0 0 0.32 , 18.775
2007 DS84 , R ,  5741 ,   336 , 18 25 36.87 -40 27 54.4 , 0 0 0.21   0 0 3.2 , 22.905
2006 SX217 , R ,  5787 ,   538 , 0 11 34.32 -18 28 29.96 , 0 0 0.04   0 0 0.58 , 20.749
2020 XD5 , R ,  6644 ,   463 , 20 51 22.78 -32 23 50.71 , 0 9 45.63   2 26 24.48 , 21.822
2003 AA3 , R ,  6234 ,   288 , 21 49 46.05 -46 0 39.28 , 0 0 0.05   0 0 0.79 , 21.36
2020 VZ5 , R ,  5913 ,   126 , 9 51 14.3 -57 5 14.03 , 0 0 10.57   0 2 38.5 , 21.681
2002 GO5 , R ,  6158 ,   280 , 18 10 52.08 -42 45 37.73 , 0 0 0.02   0 0 0.27 , 22.888
2010 BK2 , R ,  6775 ,   445 , 14 0 10.46 -29 40 31.66 , 0 0 0.11   0 0 1.66 , 22.606
2020 QF6 , R ,  5880 ,    59 , 7 17 34.2 -69 25 59.34 , 0 3 18.14   0 49 32.05 , 21.129
2016 CC30 , R ,  7614 ,   301 , 3 42 12.52 -37 22 48.58 , 0 0 1.21   0 0 18.16 , 23.421
2016 CC30 , R ,  7642 ,   249 , 3 39 59.24 -42 59 49.34 , 0 0 1.33   0 0 19.97 , 23.175
2004 RF84 , R ,  6461 ,   176 , 14 36 4.44 -53 29 14.5 , 0 0 0.01   0 0 0.2 , 20.453
2020 RH7 , R ,  8749 ,   472 , 23 48 12.39 -22 19 33.78 , 0 1 31.6   0 22 54.05 , 21.978
2015 TY237 , R ,  5802 ,   604 , 23 18 17.46 -19 19 31.01 , 0 0 1.66   0 0 24.88 , 22.61
2015 TY237 , R ,  5819 ,   605 , 23 18 8.08 -17 35 44.95 , 0 0 1.33   0 0 19.91 , 23.11
2004 VC , R ,  3575 ,   129 , 11 11 46.08 -57 0 37.8 , 0 0 0.04   0 0 0.56 , 20.765
2004 VC , R ,  6711 ,   200 , 3 13 50.93 -51 28 5.56 , 0 0 0.03   0 0 0.46 , 20.875
2019 FH , R ,  6551 ,   581 , 14 51 44.11 -17 14 1.32 , 0 0 0.11   0 0 1.64 , 23.802
2001 LD , R ,  7644 ,   550 , 3 59 57.68 -20 13 30.04 , 0 0 0.14   0 0 2.13 , 22.991
1998 UT18 , R ,  6589 ,   285 , 20 26 35.55 -44 51 19.22 , 0 0 0.01   0 0 0.14 , 21.008
1982 XB , R ,  5754 ,   523 , 18 42 39.05 -26 59 50.75 , 0 0 0.01   0 0 0.18 , 22.976
2016 PQ39 , R ,  6092 ,   579 , 14 26 43.26 -19 36 30.38 , 0 0 0.44   0 0 6.53 , 23.396
2015 FT118 , R ,  4550 ,   260 , 8 55 44.41 -42 59 32.78 , 0 0 0.07   0 0 1.0 , 21.663
2005 RC34 , R ,  5546 ,   573 , 12 23 26.45 -18 34 2.32 , 0 0 0.02   0 0 0.24 , 23.956
2010 TP54 , R ,  5715 ,   527 , 20 5 31.24 -25 39 25.81 , 0 0 0.15   0 0 2.26 , 23.975
2005 EY95 , R ,  6105 ,   520 , 17 38 30.6 -22 22 52.46 , 0 0 0.02   0 0 0.31 , 21.567
2009 LW2 , R ,  5813 ,    77 , 23 41 49.75 -71 7 43.61 , 0 0 0.07   0 0 1.11 , 21.837
2017 HY50 , R ,  7023 ,   248 , 3 23 16.58 -43 30 47.12 , 0 3 48.2   0 57 3.07 , 20.328
2009 OG , R ,  5627 ,    41 , 14 45 40.56 -75 7 17.76 , 0 0 0.04   0 0 0.6 , 23.016
2004 XK50 , R ,  5834 ,   194 , 0 31 23.09 -50 29 30.48 , 0 0 0.06   0 0 0.88 , 23.796
2017 ED4 , R ,  6572 ,   282 , 19 15 38.64 -43 6 44.86 , 0 0 1.89   0 0 28.32 , 22.819
2011 KQ12 , R ,  7077 ,   474 , 0 52 23.56 -22 21 53.39 , 0 0 0.06   0 0 0.97 , 23.411
2007 SJ , R ,  6549 ,   459 , 18 58 38.6 -28 5 49.02 , 0 0 0.03   0 0 0.39 , 20.736
2000 CM33 , R ,  6218 ,   539 , 0 29 22.46 -18 46 45.77 , 0 0 0.07   0 0 1.12 , 21.887
2004 VB , R ,  5696 ,   335 , 18 0 26.19 -38 54 39.96 , 0 0 0.02   0 0 0.28 , 22.528
2004 VB , R ,  6600 ,   341 , 20 44 8.32 -39 16 56.21 , 0 0 0.02   0 0 0.24 , 23.195
1989 DA , R ,  3842 ,   456 , 18 1 42.83 -31 20 40.31 , 0 0 0.03   0 0 0.49 , 23.857
2009 RZ3 , R ,  8231 ,   287 , 21 21 1.28 -43 25 27.55 , 0 6 49.46   1 42 21.97 , 22.807
2003 VE1 , R ,  5631 ,   392 , 17 3 36.53 -32 43 12.0 , 0 0 0.07   0 0 1.04 , 22.412
2003 VE1 , R ,  5649 ,   333 , 17 10 59.03 -37 3 19.55 , 0 0 0.08   0 0 1.27 , 21.767
2010 SH13 , R ,  6290 ,   557 , 6 36 9.42 -22 36 4.25 , 0 0 0.97   0 0 14.6 , 21.252
2005 PJ2 , R ,  5754 ,   523 , 18 49 46.5 -24 20 24.76 , 0 0 0.06   0 0 0.84 , 18.26
2019 GT2 , R ,  6109 ,   593 , 19 22 50.4 -22 29 16.58 , 0 0 0.05   0 0 0.72 , 23.478
1981 ET3 , R ,  5654 ,   139 , 17 50 6.49 -60 41 44.41 , 0 0 0.02   0 0 0.24 , 17.03
2013 JM7 , R ,  6095 ,   580 , 14 43 43.29 -21 56 26.38 , 0 0 0.14   0 0 2.14 , 21.012
2018 BA7 , R ,  4173 ,   274 , 15 28 23.32 -47 40 58.91 , 0 0 0.59   0 0 8.89 , 22.229
2005 EW169 , R ,  6179 ,   596 , 20 13 4.23 -17 32 48.91 , 0 0 0.05   0 0 0.78 , 23.637
2015 UK52 , R ,  6780 ,   175 , 14 21 24.17 -53 9 26.17 , 0 0 0.15   0 0 2.24 , 21.553
2017 WG2 , R ,  7636 ,   349 , 0 4 16.5 -33 45 16.49 , 0 0 8.06   0 2 0.86 , 22.112
2010 TV149 , R ,  6206 ,   460 , 19 21 59.17 -32 21 3.31 , 0 0 0.02   0 0 0.3 , 22.977
2014 OY1 , R ,  8239 ,   243 , 1 12 50.9 -45 5 2.94 , 0 0 0.59   0 0 8.82 , 21.19
2000 KW43 , R ,  6551 ,   581 , 15 13 58.0 -19 21 34.85 , 0 0 0.03   0 0 0.49 , 21.086
2000 KW43 , R ,  6554 ,   582 , 15 14 21.86 -19 54 29.38 , 0 0 0.03   0 0 0.48 , 21.152
2000 KW43 , R ,  7574 ,   232 , 19 26 24.44 -50 18 14.58 , 0 0 0.05   0 0 0.75 , 23.768
2020 KG6 , R ,  5634 ,   332 , 17 8 54.95 -42 42 22.43 , 0 0 0.36   0 0 5.43 , 22.149
2016 CJ195 , R ,  7357 ,   507 , 12 56 9.71 -24 44 53.88 , 0 0 0.24   0 0 3.55 , 21.562
2007 TR24 , R ,  6125 ,   591 , 18 36 33.36 -22 48 59.0 , 0 0 0.08   0 0 1.13 , 23.377
1993 BX3 , R ,  6125 ,   591 , 18 32 36.95 -17 6 17.57 , 0 0 0.03   0 0 0.42 , 22.288
2018 XR , R ,  4393 ,   235 , 20 57 53.8 -50 32 51.83 , 0 0 0.76   0 0 11.43 , 21.279
2019 CT1 , R ,  3645 ,   172 , 12 47 3.64 -56 47 23.17 , 0 0 0.32   0 0 4.73 , 21.772
2007 CS26 , R ,  7739 ,   482 , 3 45 26.55 -22 17 49.78 , 0 3 58.63   0 59 39.5 , 23.613
2018 LC3 , R ,  4434 ,   156 , 3 49 39.73 -57 33 51.16 , 0 0 0.18   0 0 2.64 , 22.392
2003 UX5 , R ,  8121 ,   347 , 23 35 26.1 -41 51 43.49 , 0 0 0.08   0 0 1.13 , 23.153
2003 UX5 , R ,  8131 ,   292 , 23 38 28.98 -42 40 34.1 , 0 0 0.08   0 0 1.17 , 23.082
2003 UX5 , R ,  8146 ,   193 , 23 47 52.33 -51 12 28.91 , 0 0 0.1   0 0 1.49 , 22.502
2003 UX5 , R ,  8154 ,   149 , 23 44 46.06 -52 59 11.65 , 0 0 0.1   0 0 1.54 , 22.412
