2006 SU49 , V ,  3270 ,   512 , 14 44 34.08 -22 32 45.38 , 0 0 0.71   0 0 10.6 , 19.634 , 21.126287494579977
2006 SU49 , V ,  3272 ,   512 , 14 44 35.76 -22 32 18.56 , 0 0 0.71   0 0 10.59 , 19.638 , 21.126287494579977
2006 SU49 , V ,  3277 ,   512 , 14 44 37.7 -22 31 44.83 , 0 0 0.7   0 0 10.57 , 19.643 , 21.126287494579977
2006 SU49 , V ,  3282 ,   512 , 14 44 39.43 -22 31 14.66 , 0 0 0.7   0 0 10.55 , 19.648 , 21.126287494579977
2006 SU49 , V ,  3287 ,   512 , 14 44 41.92 -22 30 34.81 , 0 0 0.7   0 0 10.53 , 19.653 , 20.543290757920115
2006 SU49 , V ,  3291 ,   512 , 14 45 11.33 -22 24 46.4 , 0 0 0.69   0 0 10.32 , 19.707 , 21.126287494579977
2006 SU49 , V ,  3298 ,   512 , 14 46 12.96 -22 14 36.64 , 0 0 0.66   0 0 9.93 , 19.807 , 21.126287494579977
2006 SU49 , J ,  3303 ,   512 , 14 46 18.59 -22 13 35.22 , 0 0 0.66   0 0 9.89 , 19.817 , 23.123712505420023
2006 SU49 ,UR , 11164 , K1/K2 , 0 31 13.51 4 51 33.55 , 0 0 0.01   0 0 0.2 , 23.454 , 1003.5989765575596
2007 PV27 , J ,  1314 , CIRX1 , 15 3 25.86 -56 54 0.94 , 0 0 0.06   0 0 0.89 , 22.102 , 23.5
2007 PV27 , J ,  4134 ,   102 , 17 50 27.81 -63 37 47.75 , 0 0 0.06   0 0 0.87 , 22.948 , 23.583683487038268
2007 PV27 ,JR , 15517 ,   859 , 23 54 10.26 1 59 54.85 , 0 0 0.02   0 0 0.23 , 23.113 , 1003.3063725500178
2007 PV27 ,JR , 15518 ,   859 , 23 54 15.79 2 0 52.88 , 0 0 0.02   0 0 0.23 , 23.112 , 1003.3063725500178
2007 PV27 ,JR , 15519 ,   859 , 23 54 21.46 2 1 52.25 , 0 0 0.02   0 0 0.23 , 23.112 , 1003.3063725500178
2007 PV27 ,OR , 16557 ,   261 , 9 18 33.26 -43 21 32.72 , 0 0 0.14   0 0 2.05 , 19.662 , 21.027310937020445
2007 PV27 , J , 18265 ,   855 , 22 32 53.98 -1 57 31.9 , 0 0 0.01   0 0 0.21 , 22.475 , 23.40102344244047
2007 PV27 , J , 18287 ,   855 , 22 45 55.74 0 6 2.45 , 0 0 0.02   0 0 0.23 , 22.413 , 23.5
2016 WJ1 , I ,  1669 ,   525 , 19 26 39.01 -27 42 25.13 , 0 0 9.89   0 2 28.32 , 19.766 , 20.21048926636811
2016 WJ1 , U , 10808 , COM H , 19 55 52.69 -19 0 7.88 , 0 0 0.13   0 0 1.91 , 22.982 , 1002.4326600445978
2016 WJ1 ,BJ , 10809 , COM H , 19 55 55.13 -19 0 4.72 , 0 0 0.13   0 0 1.91 , 22.982 , 1001.37628749458
2016 WJ1 ,VR , 10810 , COM H , 19 55 56.71 -19 0 2.66 , 0 0 0.13   0 0 1.91 , 22.982 , 1001.1826600445978
2016 WJ1 ,VJ , 10814 , COM H , 20 1 54.11 -18 51 13.32 , 0 0 0.11   0 0 1.62 , 23.008 , 1000.12628749458
2016 WJ1 ,VJ , 10823 , COM H , 20 4 51.34 -18 46 27.7 , 0 0 0.1   0 0 1.5 , 23.023 , 1000.12628749458
2016 WJ1 ,VJ , 10832 , COM H , 20 7 47.77 -18 41 28.54 , 0 0 0.09   0 0 1.39 , 23.038 , 1000.12628749458
2016 WJ1 ,VJ , 10841 , COM H , 20 10 45.35 -18 36 12.85 , 0 0 0.09   0 0 1.3 , 23.053 , 1000.12628749458
2004 MX2 , R ,  2515 , N1068 , 14 33 58.02 0 43 15.02 , 0 0 0.04   0 0 0.57 , 23.389 , 1002.1288624837399
2004 MX2 ,HA ,  2528 , N1068 , 14 37 35.2 0 15 3.42 , 0 0 0.04   0 0 0.56 , 23.357 , 1003.8190906313791
2002 NT7 , R ,  4763 ,   842 , 18 9 20.95 0 42 3.06 , 0 0 0.0   0 0 0.08 , 21.948 , 22.027310937020445
2002 NT7 ,OR , 10551 ,   839 , 17 14 23.63 1 30 46.76 , 0 0 0.0   0 0 0.07 , 21.983 , 22.0
2002 NT7 , J , 16776 ,   457 , 18 35 38.05 -28 19 31.44 , 0 0 0.01   0 0 0.08 , 19.2 , 23.123712505420023
2002 EY2 ,UJ ,  2949 ,    N3 , 9 53 10.93 16 2 33.14 , 0 0 0.04   0 0 0.62 , 21.3 , 1003.2226890629795
2002 EY2 , J ,  6856 , AS245 , 23 33 27.12 -1 7 34.07 , 0 0 0.02   0 0 0.33 , 21.078 , 23.5
2002 EY2 ,UJ , 11868 ,   OB2 , 15 59 35.8 -55 34 31.84 , 0 0 0.02   0 0 0.36 , 23.04 , 1002.25
2002 EY2 ,OR , 15358 ,   786 , 11 42 24.12 -3 39 12.74 , 0 0 0.02   0 0 0.34 , 21.652 , 22.083683487038268
2000 QK130 , J ,  6971 , AS422 , 23 35 28.19 0 0 27.5 , 0 0 0.03   0 0 0.41 , 23.579 , 23.583683487038268
2000 QK130 , I , 18957 ,   745 , 22 11 29.76 -10 56 37.18 , 0 0 0.02   0 0 0.28 , 19.545 , 20.5
2000 QK130 , I , 18963 ,   746 , 22 11 52.95 -11 12 34.78 , 0 0 0.02   0 0 0.28 , 19.629 , 20.5
