2006 OC5 ,OR , 14542 ,   521 , 17 45 49.91 -24 0 55.91 , 0 0 0.02   0 0 0.32 , 18.596 , 21.7798859261804
1989 UQ ,OR , 13446 ,   751 , 23 53 18.57 -7 35 7.98 , 0 0 0.03   0 0 0.4 , 17.894 , 22.043452632824014
2018 GJ1 , J ,  9597 ,   834 , 3 36 7.13 -2 34 48.04 , 0 4 52.09   1 13 1.4 , 19.275 , 23.5
2011 LL2 , I , 15838 ,   551 , 4 31 34.71 -18 16 30.76 , 0 0 0.37   0 0 5.5 , 19.287 , 20.5
1978 CA , I , 12254 ,   829 , 13 56 47.53 -2 42 2.99 , 0 0 0.0   0 0 0.02 , 19.245 , 20.5
2004 LJ1 ,OR , 16502 ,   498 , 9 28 13.56 -24 20 50.6 , 0 0 0.01   0 0 0.2 , 19.119 , 22.156173420760375
1998 QS52 , J ,  8630 ,   886 , 21 4 41.23 -1 2 6.4 , 0 0 0.01   0 0 0.09 , 19.509 , 23.5
2000 GK137 , I , 11504 ,   839 , 5 16 21.57 2 54 25.6 , 0 0 0.02   0 0 0.24 , 19.447 , 20.5
1997 NC1 , I , 14335 ,   865 , 1 53 4.51 2 51 59.18 , 0 0 0.02   0 0 0.31 , 19.903 , 20.5
1997 NC1 ,OR , 17016 ,   863 , 1 16 9.03 0 46 43.93 , 0 0 0.02   0 0 0.34 , 19.532 , 22.12113751626007
1991 AQ , I , 16289 ,   597 , 20 37 32.02 -21 11 38.0 , 0 0 0.03   0 0 0.52 , 15.676 , 20.5
1989 VB ,OR , 13417 ,   822 , 23 41 7.05 -3 34 44.8 , 0 0 0.15   0 0 2.31 , 15.826 , 22.043452632824014
2001 SN289 ,OR , 17201 ,   354 , 2 1 25.42 -35 5 37.68 , 0 0 0.05   0 0 0.72 , 18.683 , 22.043452632824014
1998 ML14 , I , 14191 ,   859 , 0 7 14.57 1 40 37.52 , 0 0 0.01   0 0 0.09 , 19.616 , 20.5
2001 SG10 ,OR , 12222 ,   672 , 21 37 27.48 -16 22 28.2 , 0 0 0.05   0 0 0.72 , 19.701 , 22.249465443631504
2001 SG10 , I , 16355 ,   748 , 23 11 23.12 -9 18 11.05 , 0 0 0.06   0 0 0.96 , 18.3 , 20.5
2004 OT11 ,OR , 12456 ,   847 , 8 4 56.55 0 54 23.33 , 0 0 0.11   0 0 1.61 , 19.812 , 22.277310937020445
2012 XO111 , J ,  4912 ,   273 , 14 55 50.83 -45 19 1.09 , 0 0 2.32   0 0 34.75 , 18.672 , 23.512521400946905
2003 SD220 , J ,  5777 ,   857 , 23 19 38.77 0 29 33.04 , 0 0 0.0   0 0 0.04 , 19.449 , 23.583683487038268
2004 UL , I , 15786 ,    47 , 20 56 7.92 -75 11 4.13 , 0 0 0.13   0 0 2.01 , 19.587 , 20.5
2004 UL , J , 16381 ,   755 , 1 8 46.65 -7 50 0.92 , 0 0 0.02   0 0 0.32 , 19.356 , 23.829051793468228
1997 QK1 , I , 17742 ,   812 , 20 23 26.92 -5 29 36.38 , 0 0 0.03   0 0 0.44 , 18.249 , 20.5
2005 JS108 , I , 16175 ,   821 , 23 16 14.37 -2 38 3.16 , 0 0 0.06   0 0 0.88 , 16.968 , 20.5
1990 HA ,OR , 13446 ,   751 , 23 49 21.51 -4 33 34.06 , 0 0 0.06   0 0 0.89 , 18.631 , 22.043452632824014
2007 CA19 , J ,  9113 ,   859 , 23 59 41.25 -1 7 41.59 , 0 0 0.03   0 0 0.45 , 19.593 , 23.5
1989 PB ,OR , 13771 ,   336 , 18 41 16.84 -38 40 52.79 , 0 0 0.0   0 0 0.03 , 16.919 , 21.90102344244047
1989 PB , I , 15538 ,   374 , 10 10 41.36 -35 4 4.48 , 0 0 0.0   0 0 0.07 , 15.979 , 20.5
2004 RE84 , I , 16013 ,   644 , 12 29 16.86 -14 56 36.38 , 0 0 0.04   0 0 0.56 , 18.903 , 20.5
2012 BB124 , J ,  2550 ,    27 , 22 12 42.33 -82 6 28.94 , 0 0 0.71   0 0 10.64 , 18.356 , 23.5
2009 AV ,OR , 13268 ,   660 , 17 42 1.46 -17 38 9.2 , 0 0 0.27   0 0 4.07 , 17.275 , 22.12113751626007
2015 TE323 , I , 13764 ,   873 , 16 33 59.56 -2 16 15.28 , 0 0 0.2   0 0 2.95 , 19.981 , 20.5
1991 EE , I , 14551 ,   671 , 21 18 15.76 -13 0 56.38 , 0 0 0.04   0 0 0.53 , 13.358 , 20.5
1996 EN , J ,  4739 ,   429 , 7 43 34.95 -30 40 11.39 , 0 0 0.01   0 0 0.18 , 19.922 , 23.583683487038268
1996 EN , I ,  6743 ,   630 , 7 51 39.0 -12 33 57.38 , 0 0 0.01   0 0 0.16 , 19.291 , 20.5
1996 EN , R ,  6744 ,   630 , 7 51 33.79 -12 31 57.79 , 0 0 0.01   0 0 0.16 , 19.292 , 22.027310937020445
1996 EN , I ,  6758 ,   702 , 7 49 23.63 -11 37 54.48 , 0 0 0.01   0 0 0.16 , 19.31 , 20.5
1996 EN ,OR , 14720 ,   430 , 8 2 19.66 -27 56 32.96 , 0 0 0.01   0 0 0.16 , 19.794 , 22.0
1996 EN , I , 19288 ,   828 , 13 28 54.69 0 41 34.8 , 0 0 0.0   0 0 0.06 , 19.762 , 20.5
1991 CS ,OR , 12550 ,   859 , 23 55 11.41 2 7 22.44 , 0 0 0.0   0 0 0.02 , 19.968 , 22.249465443631504
1991 CS ,OR , 14144 ,   310 , 7 11 9.6 -42 20 42.36 , 0 0 0.02   0 0 0.25 , 16.351 , 21.95276429888825
2005 NJ1 , I ,  6156 ,   457 , 18 34 15.25 -31 42 56.7 , 0 0 0.08   0 0 1.21 , 18.697 , 20.5
2005 NJ1 , R ,  6157 ,   457 , 18 33 59.87 -31 42 38.88 , 0 0 0.08   0 0 1.21 , 18.696 , 22.027310937020445
2017 RL , I ,  5067 ,    96 , 13 23 23.79 -67 31 7.9 , 0 0 0.32   0 0 4.73 , 19.791 , 20.5
2017 RL , R ,  5068 ,    96 , 13 23 1.14 -67 31 12.07 , 0 0 0.32   0 0 4.73 , 19.79 , 22.027310937020445
2000 EE14 ,OR , 12837 ,   825 , 12 49 37.17 -2 30 21.02 , 0 0 0.0   0 0 0.07 , 19.5 , 22.12113751626007
1999 DJ4 , I , 18510 ,   406 , 22 40 56.69 -32 20 23.06 , 0 0 0.02   0 0 0.31 , 19.312 , 20.5
2012 KY3 ,OR , 14590 ,   824 , 12 22 6.51 2 20 8.52 , 0 0 0.09   0 0 1.32 , 19.759 , 22.0
2016 GT220 ,OR , 15123 ,    26 , 21 12 57.27 -79 18 4.25 , 0 0 0.35   0 0 5.26 , 17.997 , 22.0
2014 AF51 , J ,  8669 ,   661 , 17 58 32.23 -15 24 52.49 , 0 0 0.24   0 0 3.66 , 19.654 , 23.40102344244047
1999 NC43 ,OR , 15012 ,   528 , 20 24 55.95 -24 34 30.58 , 0 0 0.01   0 0 0.12 , 19.633 , 22.0
2001 CV26 , I ,  6227 ,   178 , 16 3 18.19 -54 27 29.74 , 0 0 0.01   0 0 0.12 , 18.696 , 20.5
