2002 JZ8 ,XF , 05192 ,  806  , 18 27 48.63 3 4 9.3 , 0 0 0.2   0 0 3.08 , 21.083
2009 BE58 ,XF , 00933 ,  628  , 7 8 38.43 17 35 48.05 , 0 0 0.03   0 0 0.45 , 22.337
2009 BE58 ,XF , 07138 ,  628  , 6 50 13.88 17 50 8.95 , 0 0 0.04   0 0 0.6 , 22.136
2001 PM9 ,XF , 04172 ,  476  , 1 40 23.35 22 0 43.45 , 0 0 0.01   0 0 0.19 , 22.402
2001 PM9 ,XN , 04343 ,  608  , 0 20 49.52 13 22 9.41 , 0 0 0.02   0 0 0.24 , 22.036
2016 LN1 ,XF , 02859 ,  367  , 7 17 34.67 34 53 23.35 , 0 0 0.31   0 0 4.71 , 21.448
1999 XL136 ,XN , 05384 ,  749  , 23 27 11.49 10 35 38.83 , 0 0 0.02   0 0 0.3 , 23.688
2003 WH166 ,XJ , 06551 ,  557  , 6 32 37.16 22 5 0.24 , 0 0 0.05   0 0 0.77 , 23.443
2003 QO104 ,XJ , 03035 ,  308  , 6 29 43.17 37 25 46.27 , 0 0 0.02   0 0 0.23 , 19.549
2003 QO104 ,XF , 04268 ,  617  , 3 17 56.57 12 36 51.3 , 0 0 0.01   0 0 0.14 , 20.76
2003 QO104 ,XJ , 04272 ,  617  , 3 17 8.38 12 34 39.54 , 0 0 0.01   0 0 0.14 , 20.743
2003 QO104 ,XJ , 04294 ,  688  , 3 10 50.69 12 17 32.75 , 0 0 0.01   0 0 0.14 , 20.624
2003 QO104 ,XJ , 04303 ,  689  , 3 8 50.57 12 12 8.57 , 0 0 0.01   0 0 0.15 , 20.588
2003 QO104 ,XJ , 04306 ,  616  , 3 7 50.25 12 9 26.14 , 0 0 0.01   0 0 0.15 , 20.57
2003 QO104 ,XJ , 04318 ,  688  , 3 4 38.21 12 0 51.23 , 0 0 0.01   0 0 0.15 , 20.515
2003 QO104 ,XN , 06521 ,  426  , 6 29 0.9 28 16 23.59 , 0 0 0.01   0 0 0.1 , 21.453
2003 QO104 ,XJ , 06651 ,  422  , 5 5 7.42 32 3 43.6 , 0 0 0.01   0 0 0.13 , 20.514
2018 BM3 ,XN , 03110 ,  514  , 15 12 36.55 25 13 38.06 , 0 5 1.16   1 15 17.4 , 23.823
2018 BM3 ,XJ , 03111 ,  513  , 15 12 33.13 25 17 46.43 , 0 5 1.79   1 15 26.78 , 23.819
2017 RV ,XN , 02960 ,  544  , 1 59 19.77 18 47 19.46 , 0 0 0.09   0 0 1.34 , 23.721
2008 XM ,XJ , 04396 ,  553  , 5 2 37.91 18 12 30.13 , 0 0 0.02   0 0 0.27 , 23.365
2008 XM ,XJ , 04427 ,  551  , 4 36 10.15 17 49 32.63 , 0 0 0.01   0 0 0.22 , 23.807
2008 XM ,XJ , 04428 ,  551  , 4 36 6.9 17 49 30.68 , 0 0 0.01   0 0 0.22 , 23.808
2008 XM ,XJ , 06643 ,  552  , 4 53 0.99 18 17 9.56 , 0 0 0.02   0 0 0.23 , 23.502
2021 DM2 ,XN , 02430 ,  456  , 18 5 56.28 32 27 20.34 , 0 7 46.76   1 56 41.47 , 22.028
2021 DM2 ,XJ , 02485 ,  333  , 17 10 45.44 38 21 59.33 , 0 10 29.26   2 37 18.83 , 21.27
2021 DM2 ,XJ , 02502 ,  332  , 17 3 5.63 37 38 49.24 , 0 10 37.02   2 39 15.25 , 21.198
2021 DM2 ,XJ , 02557 ,  391  , 16 46 54.31 34 50 26.45 , 0 10 41.22   2 40 18.3 , 21.037
2002 AW ,XF , 03846 ,  635  , 9 13 50.94 16 3 56.59 , 0 0 0.04   0 0 0.53 , 18.338
2010 JU39 ,XN , 02430 ,  456  , 18 0 55.32 30 30 0.76 , 0 0 0.06   0 0 0.9 , 20.368
2010 JU39 ,XN , 06207 ,  101  , 16 41 1.17 63 22 9.84 , 0 0 0.04   0 0 0.58 , 21.475
2010 JU39 ,XJ , 06219 ,  134  , 14 29 25.97 57 18 25.42 , 0 0 0.03   0 0 0.48 , 21.6
2010 JU39 ,XN , 06834 ,  388  , 15 40 45.9 35 40 32.38 , 0 0 0.03   0 0 0.5 , 20.609
2019 OR1 ,XJ , 02608 ,  189  , 22 7 40.72 54 32 31.49 , 0 0 2.03   0 0 30.5 , 21.631
2019 OR1 ,XN , 02618 ,  188  , 21 45 18.88 53 34 27.62 , 0 0 2.12   0 0 31.85 , 21.582
2019 OR1 ,XJ , 02638 ,  236  , 21 11 38.64 50 8 16.58 , 0 0 2.21   0 0 33.15 , 21.524
2019 OR1 ,XF , 03506 ,  194  , 0 26 25.81 52 25 29.06 , 0 0 1.7   0 0 25.51 , 22.035
2012 GV17 ,XJ , 01635 ,  257  , 7 30 44.61 42 53 29.9 , 0 0 0.98   0 0 14.69 , 23.518
2012 GV17 ,XN , 06182 ,  711  , 10 44 17.5 12 27 25.49 , 0 0 0.32   0 0 4.87 , 23.874
2001 SG286 ,XF , 03672 ,  490  , 6 26 33.34 23 15 37.48 , 0 0 0.01   0 0 0.21 , 22.593
2002 JE9 ,XJ , 01995 ,  675  , 22 35 49.36 15 48 0.32 , 0 0 0.07   0 0 1.1 , 22.164
2011 UG20 ,XJ , 05350 ,  537  , 23 45 43.32 24 52 22.62 , 0 0 0.12   0 0 1.73 , 23.912
2011 UG20 ,XJ , 05360 ,  537  , 23 43 5.46 24 54 42.62 , 0 0 0.12   0 0 1.76 , 23.834
2011 UG20 ,XJ , 05398 ,  536  , 23 30 20.78 24 42 10.48 , 0 0 0.13   0 0 1.89 , 23.514
2011 UG20 ,XN , 05932 ,  532  , 22 2 50.2 22 41 31.67 , 0 0 0.19   0 0 2.88 , 23.823
2011 UG20 ,XN , 06298 ,  462  , 20 8 50.66 30 9 59.58 , 0 0 0.37   0 0 5.49 , 22.694
2003 RM10 ,XJ , 02183 ,  410  , 0 33 23.27 28 59 9.24 , 0 0 0.11   0 0 1.71 , 20.51
2003 RM10 ,XJ , 05479 ,  473  , 0 8 50.94 26 22 1.42 , 0 0 0.1   0 0 1.47 , 19.314
2005 SQ ,XJ , 02207 ,  683  , 1 26 50.03 11 41 40.85 , 0 0 0.05   0 0 0.77 , 21.306
2001 GQ2 ,XJ , 03025 ,  266  , 11 30 49.89 44 33 22.9 , 0 0 0.03   0 0 0.49 , 22.817
2001 GQ2 ,XJ , 03143 ,  259  , 8 31 59.18 45 36 58.1 , 0 0 0.02   0 0 0.34 , 23.351
1998 KJ9 ,XF , 03024 ,  436  , 10 7 37.87 29 49 27.77 , 0 0 0.27   0 0 4.09 , 14.105
1998 KJ9 ,XJ , 03035 ,  308  , 6 40 51.99 38 29 41.75 , 0 0 0.08   0 0 1.16 , 18.284
1993 EA ,XF , 01116 ,  497  , 9 18 42.71 23 26 56.4 , 0 0 0.01   0 0 0.11 , 19.64
2005 UL5 ,XJ , 07041 ,  624  , 5 44 38.07 13 16 54.44 , 0 0 0.01   0 0 0.15 , 22.139
